LA_name,LA_code,Total_Death,total_population,toddlers,kids,teenagers,working_professionals,senior_citizens,males,females,econ_active,econ_inactive,males_econ_active,males_econ_inactive,females_econ_active,females_econ_inactive
Wigan,E08000010,907,317849,19681,18044,37840,190635,51649,157996,159853,162781,73714,87048,31483,75733,42231
Knowsley,E08000011,395,145893,9121,8312,19323,86123,23014,69329,76564,69617,36538,35112,15268,34505,21270
Liverpool,E08000012,1280,466415,26099,22254,58887,293709,65466,230483,235932,226270,130606,118531,59838,107739,70768
St. Helens,E08000013,503,175308,10269,9271,21171,103197,31400,86138,89170,86121,43463,45263,18873,40858,24590
Sefton,E08000014,781,273790,14601,13768,32314,156096,57011,131237,142553,133012,65185,68496,27601,64516,37584
Wirral,E08000015,896,319783,18514,17677,38868,183758,60966,153847,165936,153240,77611,79105,32781,74135,44830
Barnsley,E08000016,717,231221,13957,12562,27768,136924,40010,113634,117587,113306,57099,60174,24496,53132,32603
Doncaster,E08000017,799,302402,19220,17072,36344,178625,51141,149230,153172,147770,73107,79454,31021,68316,42086
Rotherham,E08000018,745,257280,15738,14645,31881,150174,44842,126247,131033,125899,62060,67294,25925,58605,36135
Sheffield,E08000019,1204,552698,33977,30337,72502,330184,85698,272661,280037,270239,140765,143190,61405,127049,79360
Newcastle upon Tyne,E08000021,493,280177,16522,14035,36884,174017,38719,140226,139951,133848,79016,71558,36424,62290,42592
North Tyneside,E08000022,431,200801,11732,10653,22380,120741,35295,96883,103918,104242,43647,53906,17920,50336,25727
South Tyneside,E08000023,448,148127,8182,7551,17726,87815,26853,71560,76567,72645,36336,38256,15068,34389,21268
Sunderland,E08000024,775,275506,15378,14133,33142,166060,46793,133953,141553,135467,70085,70773,29751,64694,40334
Birmingham,E08000025,2716,1073045,81901,74360,153937,624634,138213,527806,545239,488221,272031,265992,108667,222229,163364
Coventry,E08000026,594,316960,22476,18402,42073,187759,46250,157621,159339,153745,78126,82379,34518,71366,43608
Dudley,E08000027,723,312925,18867,17934,38402,179525,58197,153819,159106,155530,71196,83647,29119,71883,42077
Sandwell,E08000028,963,308063,22669,20194,39553,178806,46841,151592,156471,146653,72855,79587,29283,67066,43572
Solihull,E08000029,550,206674,11555,11711,26517,117295,39596,100352,106322,105108,43252,55089,17477,50019,25775
Walsall,E08000030,880,269323,18373,16971,34933,153231,45815,132319,137004,126805,65169,69220,25814,57585,39355
Wolverhampton,E08000031,735,249470,16687,14442,31823,145889,40629,123441,126029,120402,59581,65252,24725,55150,34856
Bradford,E08000032,1162,522452,41167,37482,71636,302775,69392,257132,265320,243727,122490,135004,46618,108723,75872
Calderdale,E08000033,318,203826,12906,11982,25192,121274,32472,99627,104199,104893,43873,55794,18013,49099,25860
Kirklees,E08000034,869,422458,28331,26027,53724,250226,64150,208657,213801,209514,97680,114430,39220,95084,58460
Leeds,E08000035,1535,751485,47844,40581,93002,460460,109598,367935,383550,389929,170920,204788,71854,185141,99066
Wakefield,E08000036,802,325837,19545,17643,38793,194714,55142,159913,165924,164768,76229,87505,32060,77263,44169
Gateshead,E08000037,446,200214,11869,10310,23050,119740,35245,97974,102240,100184,47895,52413,20667,47771,27228
City of London,E09000001,11,7375,236,182,366,5556,1035,4091,3284,4972,1335,3012,584,1960,751
Barking and Dagenham,E09000002,513,185911,18676,14331,25342,108241,19321,90237,95674,86404,41164,46390,15359,40014,25805
Barnet,E09000003,867,356386,26239,22352,41873,218490,47432,172676,183710,184483,73960,97368,27614,87115,46346
Bexley,E09000004,579,231997,15182,14015,30846,134742,37212,111676,120321,118864,47050,61944,18190,56920,28860
Brent,E09000005,792,311215,22446,18648,36531,200914,32676,156468,154747,163991,69735,89774,28059,74217,41676
Bromley,E09000006,673,309392,20095,18061,36524,182675,52037,148588,160804,161282,61257,83986,23316,77296,37941
Camden,E09000007,308,220338,13168,10898,22117,150178,23977,107885,112453,118397,55436,62686,22670,55711,32766
Croydon,E09000008,913,363378,27972,23096,46696,221239,44375,176224,187154,190308,72740,99206,28224,91102,44516
Ealing,E09000009,741,338449,25426,20385,37716,218695,36227,169175,169274,180615,72149,98765,28207,81850,43942
Enfield,E09000010,743,312466,24513,20930,40816,187374,38833,150654,161812,153334,70690,80732,26527,72602,44163
Greenwich,E09000011,480,254557,20945,16325,31045,160126,26116,126224,128333,132073,54649,70425,22532,61648,32117
Hackney,E09000012,477,246270,19149,15360,27288,167078,17395,122029,124241,133883,53540,70453,22360,63430,31180
Hammersmith and Fulham,E09000013,281,182493,11900,8559,15537,130084,16413,88914,93579,107754,37798,55562,15485,52192,22313
Haringey,E09000014,474,254926,18112,15775,29487,169183,22369,126224,128702,138189,54873,73275,22284,64914,32589
Harrow,E09000015,645,239056,15916,14421,29694,145358,33667,118023,121033,123307,51444,66777,19677,56530,31767
Havering,E09000016,844,237232,13661,13230,29723,138341,42277,114209,123023,121642,49486,64532,18761,57110,30725
Hillingdon,E09000017,706,273936,19704,16915,35910,166229,35178,135811,138125,141542,58384,76205,23293,65337,35091
Hounslow,E09000018,569,253957,19725,14899,28622,163852,26859,127397,126560,137867,52290,75992,19987,61875,32303
Islington,E09000019,325,206125,12289,9583,19918,146299,18036,101405,104720,117488,47661,61445,19863,56043,27798
Kensington and Chelsea,E09000020,251,158649,9189,7614,12917,109814,19115,78194,80455,87517,38563,47953,14103,39564,24460
Kingston upon Thames,E09000021,305,160060,10964,8966,18405,101367,20358,78103,81957,87348,32325,46291,12600,41057,19725
Lambeth,E09000022,521,303086,20701,16376,28812,214010,23187,150921,152165,183190,54540,96183,22662,87007,31878
Lewisham,E09000023,549,275885,22004,16665,31395,179686,26135,134957,140928,151793,54462,78480,22433,73313,32029
Merton,E09000024,430,199693,14830,11407,20883,129451,23122,98515,101178,112038,37560,59958,14063,52080,23497
Newham,E09000025,745,307984,25384,20834,39998,201175,20593,160336,147648,153761,75197,90528,30400,63233,44797
Redbridge,E09000026,816,278970,21666,18924,36516,168479,33385,138073,140897,137776,61768,75716,23403,62060,38365
Richmond upon Thames,E09000027,295,186990,14038,11107,18912,117637,25296,91149,95841,104090,33689,55137,12437,48953,21252
Southwark,E09000028,419,288283,20739,15562,30063,199590,22329,142618,145665,163859,60692,86060,25372,77799,35320
Sutton,E09000029,455,190146,12750,11095,23160,115908,27233,92443,97703,103995,34715,54464,13257,49531,21458
Tower Hamlets,E09000030,500,254096,18750,15531,27825,176420,15570,130906,123190,137233,59319,79353,22815,57880,36504
Waltham Forest,E09000031,543,258249,20839,16463,30001,165380,25566,128970,129279,135015,55963,73795,22155,61220,33808
Wandsworth,E09000032,447,306995,21670,14574,24924,218916,26911,148646,158349,189789,53744,96990,20897,92799,32847
Westminster,E09000033,358,219396,12617,9726,18662,153877,24514,111548,107848,120418,55087,67674,22156,52744,32931
North Northamptonshire,E06000061,666,316851,21046,18907,38862,187791,50245,156177,160674,168246,62546,89827,24747,78419,37799
West Northamptonshire,E06000062,796,375101,24966,22287,45668,226389,55791,185165,189936,204474,70908,108224,28589,96250,42319
Buckinghamshire,E06000060,1045,505283,31832,30939,63720,294641,84151,248346,256937,267881,95892,143808,36109,124073,59783
"Bournemouth, Christchurch and Poole",E06000058,870,378888,20868,17658,41407,222299,76656,186381,192507,193157,83453,103634,35030,89523,48423
Dorset,E06000059,404,255013,11727,12178,29666,136046,65396,123937,131076,124020,56526,65863,22793,58157,33733
East Suffolk,E07000244,502,239552,12473,12346,28060,130375,56298,116684,122868,114466,55661,61252,22714,53214,32947
West Suffolk,E07000245,180,170756,10786,9258,18855,101173,30684,85747,85009,92439,32582,50736,12844,41703,19738
Somerset West and Taunton,E07000246,213,144862,7710,7224,17050,80786,32092,69855,75007,72950,30889,38036,12696,34914,18193
